gene,cntrl1_4h,cntrl2_4h,cntrl3_4h,treat1_4h,treat2_4h,treat3_4h,cntrl1_24h,cntrl2_24h,cntrl3_24h,treat1_24h,treat2_24h,treat3_24h
MEnavajowhite1,-0.0939468815018248,-0.278817948995581,-0.10503607611726,-0.0997091683272317,0.567792615450887,-0.0916863042411671,0.124642727319132,-0.0818595024393614,-0.223947846667243,-0.138030963329515,-0.226604965107596,0.647204313956762
MEnavajowhite2,-0.0972246721225162,-0.071851620425205,-0.0431063963138885,-0.0395860339583107,-0.113072195951219,-0.102220117235203,-0.0771833328505609,-0.0889168524603609,-0.0667517962826501,-0.149849096633874,-0.10280415465076,0.952566268884548
MEplum2,-0.0877601544390323,-0.024604685121618,-0.0888677963264607,-0.101141132029078,-0.169735536286446,0.949663766120334,-0.107938782991847,-0.102186156886143,-0.0496700952665093,-0.0422946275349533,-0.0637361844001475,-0.111728614838099
MEantiquewhite4,-0.120519353587872,-0.143263934752143,0.245863389052242,-0.11891151492579,0.694862360622968,0.373266451417969,-0.341103004306402,-0.231748214000317,0.0297563630098317,-0.306329769770513,-0.0351574028583515,-0.0467153699016209
MElightsteelblue1,-0.174682077234092,0.0743792901307583,0.187960322543113,-0.294193445363805,0.18579458468448,0.560329432898278,-0.221877306068601,-0.0248671671192351,0.483922170994794,-0.284790640515363,-0.185027542453473,-0.306947622496856
MEdarkorange,0.194213124164977,0.502929040940015,-0.222821986277107,0.496261268987054,-0.381061605230114,-0.10600954972633,-0.305909132018894,-0.27858549307053,-0.1263943855332,-0.00889472408847325,-0.0264580324832253,0.262731474335826
MEsteelblue,-0.159008326724141,-0.0956494470703177,0.0123601069998967,0.945438174027921,-0.0459254111334539,-0.0269345703517448,-0.13171472656503,-0.103720904637765,-0.0647232140788485,-0.10902538115634,-0.103385836092524,-0.117710463217654
MEyellowgreen,0.0141487385567764,-0.0653052307704095,0.950283789807446,-0.112989763816325,-0.0894987878514565,-0.0915952283342379,-0.117582367818508,-0.0931958792848695,-0.107675912606803,-0.130570018243879,-0.0764899453661913,-0.0795293942715428
MEblack,-0.157268515678206,0.354954887669688,0.414646890169139,0.017325583010824,0.313655722802455,0.116165267723282,-0.556178340164589,0.0383437020646274,0.167637955336387,-0.433796810979122,-0.145929602654311,-0.129556739300175
MEbrown2,-0.108777726658524,0.568759497784918,0.270991093797506,0.214829768841236,-0.0166095262560458,-0.329842195069987,-0.577016449566663,0.0649084097706551,0.069731218025928,-0.286721136447468,0.0238211062321634,0.105925939546283
