gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
,0,0,0,12,491,232,0,0
ENSP00000470246,301,260,162,125,0,617,0,100
ENSP00000488928,345,193,282,307,0,0,0,0
ENSP00000274811,430,394,466,424,803,685,757,914
ENSP00000513632,10,32,22,48,0,0,0,0
ENSP00000389103,903,766,841,780,1098,1106,1174,1097
ENSP00000405196,425,417,453,471,0,0,0,0
ENSP00000340294,15,8,9,70,0,0,159,0
ENSP00000301327,337,381,330,382,1082,926,159,914
ENSP00000406080,229,232,273,285,0,0,0,0
ENSP00000349401,105,82,191,184,1123,802,635,1473
ENSP00000386702,4,185,59,6,0,0,0,0
ENSP00000368682,4,16,9,24,259,733,0,159
ENSP00000198801,44,139,254,32,300,529,0,586
ENSP00000410464,241,505,162,400,0,0,0,0
ENSP00000283632,274,295,350,380,0,0,0,0
ENSP00000466243,591,616,563,554,0,100,0,0
ENSP00000299459,0,0,0,2,159,101,0,0
ENSP00000480275,0,0,0,0,1163,1111,1015,1270
ENSP00000248054,261,292,243,308,0,0,0,0
ENSP00000350630,33,55,16,51,1119,643,452,985
ENSP00000476235,590,621,552,560,446,675,100,486
ENSP00000324742,746,444,519,560,0,0,0,0
ENSP00000263708,134,86,164,174,1041,695,945,860
ENSP00000431136,258,371,220,274,0,0,0,0
ENSP00000269491,0,0,0,0,0,0,100,159
ENSP00000293261,286,170,157,183,1075,886,851,1039
ENSP00000482245,50,286,423,187,100,0,0,0
ENSP00000470383,0,0,0,0,0,0,0,0
ENSP00000237837,10,2,1,85,0,0,0,0
ENSP00000326933,202,217,289,310,0,0,0,0
ENSP00000265261,75,159,35,91,0,0,0,0
ENSP00000515065,370,250,492,466,0,0,100,0
ENSP00000252244,13,24,1,18,956,923,825,922
ENSP00000454500,0,0,0,0,0,0,0,0
ENSP00000429059,373,207,206,269,0,259,0,200
ENSP00000368793,174,104,241,179,0,0,0,0
ENSP00000370812,145,174,163,165,0,0,200,0
ENSP00000358739,98,141,196,164,300,481,100,481
ENSP00000384182,270,268,304,281,0,0,0,0
ENSP00000487924,702,680,729,713,602,483,481,531
ENSP00000495936,14,2,2,4,0,0,0,0
ENSP00000465611,608,497,482,417,0,0,0,100
ENSP00000401328,15,7,33,36,0,0,0,0
ENSP00000424680,262,152,325,237,0,0,0,0
ENSP00000504248,440,344,427,356,0,116,111,0
ENSP00000371535,120,121,256,201,0,0,232,100
ENSP00000382097,2,0,0,4,958,1000,754,1050
ENSP00000426802,245,215,284,276,259,159,159,281
ENSP00000261731,0,2,0,6,888,532,159,711
ENSP00000262113,35,8,22,14,0,0,0,0
ENSP00000464957,0,3,5,5,159,0,232,200
ENSP00000222761,0,56,1,21,0,0,553,0
ENSP00000310593,24,52,12,162,300,100,0,0
ENSP00000474191,206,171,258,174,0,0,0,0
ENSP00000318604,589,608,562,516,0,0,0,0
ENSP00000318902,241,312,268,350,0,0,0,0
ENSP00000367650,0,0,0,0,0,0,0,0
ENSP00000360431,171,180,92,262,159,159,0,100
ENSP00000235349,0,0,0,2,159,0,100,100
ENSP00000355226,231,228,303,280,0,0,0,0
ENSP00000433439,441,392,425,426,1175,1052,1157,1300
ENSP00000482240,165,137,194,212,0,0,0,0
