gene,color,number
Tcas000006,midnightblue,1
Tcas000076,midnightblue,1
Tcas000734,midnightblue,1
Tcas001243,midnightblue,1
Tcas001179,midnightblue,1
Tcas000186,midnightblue,1
Tcas001590,midnightblue,1
Tcas000161,midnightblue,1
Tcas001069,midnightblue,1
Tcas001313,midnightblue,1
Tcas001089,midnightblue,1
Tcas000716,midnightblue,1
Tcas001641,midnightblue,1
Tcas001555,midnightblue,1
Tcas000837,midnightblue,1
Tcas000956,midnightblue,1
Tcas000650,midnightblue,1
Tcas000589,midnightblue,1
Tcas000459,midnightblue,1
Tcas000548,midnightblue,1
Tcas000321,midnightblue,1
Tcas001707,midnightblue,1
Tcas001094,midnightblue,1
Tcas001741,midnightblue,1
Tcas001743,midnightblue,1
Tcas002183,midnightblue,1
Tcas001995,midnightblue,1
Tcas002072,midnightblue,1
Tcas002095,midnightblue,1
Tcas002209,midnightblue,1
Tcas003043,midnightblue,1
Tcas003311,midnightblue,1
Tcas002884,midnightblue,1
Tcas002961,midnightblue,1
Tcas002723,midnightblue,1
Tcas003456,midnightblue,1
Tcas002639,midnightblue,1
Tcas002626,midnightblue,1
Tcas003272,midnightblue,1
Tcas002844,midnightblue,1
Tcas002694,midnightblue,1
Tcas002693,midnightblue,1
Tcas002857,midnightblue,1
Tcas003477,midnightblue,1
Tcas003298,midnightblue,1
Tcas002986,midnightblue,1
Tcas003002,midnightblue,1
Tcas003246,midnightblue,1
Tcas003335,midnightblue,1
Tcas003218,midnightblue,1
Tcas003225,midnightblue,1
Tcas003070,midnightblue,1
Tcas003597,midnightblue,1
Tcas003722,midnightblue,1
Tcas003754,midnightblue,1
Tcas003790,midnightblue,1
Tcas004643,midnightblue,1
Tcas004503,midnightblue,1
Tcas004463,midnightblue,1
Tcas004578,midnightblue,1
Tcas004157,midnightblue,1
Tcas004784,midnightblue,1
Tcas003928,midnightblue,1
Tcas004199,midnightblue,1
Tcas004191,midnightblue,1
Tcas004790,midnightblue,1
Tcas003811,midnightblue,1
Tcas003930,midnightblue,1
Tcas004315,midnightblue,1
Tcas004671,midnightblue,1
Tcas005317,midnightblue,1
Tcas005337,midnightblue,1
Tcas005338,midnightblue,1
Tcas005431,midnightblue,1
Tcas005434,midnightblue,1
Tcas005440,midnightblue,1
Tcas005452,midnightblue,1
Tcas005467,midnightblue,1
Tcas005453,midnightblue,1
Tcas006109,midnightblue,1
Tcas005569,midnightblue,1
Tcas005663,midnightblue,1
Tcas005682,midnightblue,1
Tcas005629,midnightblue,1
Tcas006135,midnightblue,1
Tcas006573,midnightblue,1
Tcas007185,midnightblue,1
Tcas007313,midnightblue,1
Tcas007399,midnightblue,1
Tcas006319,midnightblue,1
Tcas007253,midnightblue,1
Tcas006490,midnightblue,1
Tcas006787,midnightblue,1
Tcas007231,midnightblue,1
Tcas006616,midnightblue,1
Tcas007194,midnightblue,1
Tcas006731,midnightblue,1
Tcas007001,midnightblue,1
Tcas006468,midnightblue,1
Tcas006640,midnightblue,1
Tcas007217,midnightblue,1
Tcas007176,midnightblue,1
Tcas006952,midnightblue,1
Tcas007105,midnightblue,1
Tcas007501,midnightblue,1
Tcas008869,midnightblue,1
Tcas008073,midnightblue,1
Tcas007636,midnightblue,1
Tcas007954,midnightblue,1
Tcas008212,midnightblue,1
Tcas008424,midnightblue,1
Tcas008755,midnightblue,1
Tcas007995,midnightblue,1
Tcas008944,midnightblue,1
Tcas007646,midnightblue,1
Tcas007652,midnightblue,1
Tcas007835,midnightblue,1
Tcas008822,midnightblue,1
Tcas008533,midnightblue,1
Tcas008419,midnightblue,1
Tcas007816,midnightblue,1
Tcas008695,midnightblue,1
Tcas008234,midnightblue,1
Tcas008529,midnightblue,1
Tcas008109,midnightblue,1
Tcas007875,midnightblue,1
Tcas008111,midnightblue,1
Tcas007708,midnightblue,1
Tcas008334,midnightblue,1
Tcas008162,midnightblue,1
Tcas010314,midnightblue,1
Tcas009242,midnightblue,1
Tcas010500,midnightblue,1
Tcas009453,midnightblue,1
Tcas009228,midnightblue,1
Tcas009979,midnightblue,1
Tcas009648,midnightblue,1
Tcas010108,midnightblue,1
Tcas009846,midnightblue,1
Tcas009499,midnightblue,1
Tcas010271,midnightblue,1
Tcas010306,midnightblue,1
Tcas009784,midnightblue,1
Tcas010308,midnightblue,1
Tcas009218,midnightblue,1
Tcas009885,midnightblue,1
Tcas010237,midnightblue,1
Tcas009669,midnightblue,1
Tcas009143,midnightblue,1
Tcas009393,midnightblue,1
Tcas009584,midnightblue,1
Tcas010431,midnightblue,1
Tcas010411,midnightblue,1
Tcas009295,midnightblue,1
Tcas009941,midnightblue,1
Tcas010512,midnightblue,1
Tcas010586,midnightblue,1
Tcas010940,midnightblue,1
Tcas010780,midnightblue,1
Tcas010761,midnightblue,1
Tcas010774,midnightblue,1
Tcas010722,midnightblue,1
Tcas010712,midnightblue,1
Tcas010992,midnightblue,1
Tcas010807,midnightblue,1
Tcas011142,midnightblue,1
Tcas011153,midnightblue,1
Tcas011192,midnightblue,1
Tcas011242,midnightblue,1
Tcas011284,midnightblue,1
Tcas011803,midnightblue,1
Tcas011626,midnightblue,1
Tcas012475,midnightblue,1
Tcas012142,midnightblue,1
Tcas011953,midnightblue,1
Tcas011331,midnightblue,1
Tcas011845,midnightblue,1
Tcas011724,midnightblue,1
Tcas012267,midnightblue,1
Tcas012024,midnightblue,1
Tcas011368,midnightblue,1
Tcas011794,midnightblue,1
Tcas011873,midnightblue,1
Tcas011575,midnightblue,1
Tcas012398,midnightblue,1
Tcas012111,midnightblue,1
Tcas011531,midnightblue,1
Tcas012265,midnightblue,1
Tcas011759,midnightblue,1
Tcas012294,midnightblue,1
Tcas000022,lightpink4,2
Tcas000034,lightpink4,2
Tcas000077,lightpink4,2
Tcas000109,lightpink4,2
Tcas000117,lightpink4,2
Tcas001291,lightpink4,2
Tcas001392,lightpink4,2
Tcas000260,lightpink4,2
Tcas001395,lightpink4,2
Tcas001206,lightpink4,2
Tcas001412,lightpink4,2
Tcas001270,lightpink4,2
Tcas001606,lightpink4,2
Tcas001005,lightpink4,2
Tcas000887,lightpink4,2
Tcas001586,lightpink4,2
Tcas001203,lightpink4,2
Tcas000859,lightpink4,2
Tcas000601,lightpink4,2
Tcas001301,lightpink4,2
Tcas001486,lightpink4,2
Tcas001253,lightpink4,2
Tcas000171,lightpink4,2
Tcas001651,lightpink4,2
Tcas001450,lightpink4,2
Tcas000251,lightpink4,2
Tcas000965,lightpink4,2
Tcas000901,lightpink4,2
Tcas000263,lightpink4,2
Tcas000446,lightpink4,2
Tcas000436,lightpink4,2
Tcas000508,lightpink4,2
Tcas000131,lightpink4,2
Tcas000339,lightpink4,2
Tcas000922,lightpink4,2
Tcas000347,lightpink4,2
Tcas001141,lightpink4,2
Tcas000719,lightpink4,2
Tcas001627,lightpink4,2
Tcas000478,lightpink4,2
Tcas001295,lightpink4,2
Tcas001726,lightpink4,2
Tcas000383,lightpink4,2
Tcas001397,lightpink4,2
Tcas000825,lightpink4,2
Tcas000228,lightpink4,2
Tcas000324,lightpink4,2
Tcas000669,lightpink4,2
Tcas000740,lightpink4,2
Tcas001022,lightpink4,2
Tcas001350,lightpink4,2
Tcas001589,lightpink4,2
Tcas000467,lightpink4,2
Tcas000846,lightpink4,2
Tcas000929,lightpink4,2
Tcas000523,lightpink4,2
Tcas001212,lightpink4,2
Tcas000280,lightpink4,2
Tcas000313,lightpink4,2
Tcas000312,lightpink4,2
Tcas001710,lightpink4,2
Tcas001267,lightpink4,2
Tcas000180,lightpink4,2
Tcas001357,lightpink4,2
Tcas000828,lightpink4,2
Tcas000635,lightpink4,2
Tcas001236,lightpink4,2
Tcas001578,lightpink4,2
Tcas000342,lightpink4,2
Tcas000498,lightpink4,2
Tcas000764,lightpink4,2
Tcas000485,lightpink4,2
Tcas000895,lightpink4,2
Tcas000427,lightpink4,2
Tcas000458,lightpink4,2
Tcas000951,lightpink4,2
Tcas000145,lightpink4,2
Tcas000759,lightpink4,2
Tcas000986,lightpink4,2
Tcas000474,lightpink4,2
Tcas000750,lightpink4,2
Tcas001432,lightpink4,2
Tcas001311,lightpink4,2
Tcas000816,lightpink4,2
Tcas000985,lightpink4,2
Tcas001033,lightpink4,2
Tcas001226,lightpink4,2
Tcas001095,lightpink4,2
Tcas001137,lightpink4,2
Tcas000198,lightpink4,2
Tcas001147,lightpink4,2
Tcas001070,lightpink4,2
Tcas001705,lightpink4,2
Tcas001111,lightpink4,2
Tcas000393,lightpink4,2
Tcas000353,lightpink4,2
Tcas000795,lightpink4,2
Tcas000219,lightpink4,2
Tcas000773,lightpink4,2
Tcas000874,lightpink4,2
Tcas000290,lightpink4,2
Tcas000550,lightpink4,2
Tcas001074,lightpink4,2
Tcas000261,lightpink4,2
Tcas000229,lightpink4,2
Tcas001304,lightpink4,2
Tcas001292,lightpink4,2
Tcas001617,lightpink4,2
Tcas000605,lightpink4,2
