gene,logFC,logCPM,PValue,FDR
gene-OO714_RS18165,-7.09946792473491,11.7606110935681,0,0
gene-OO714_RS02765,-6.77093005346155,11.0720167808487,0,0
gene-OO714_RS06295,-5.59315509471718,12.4437459052413,0,0
gene-OO714_RS03585,-5.17161729410714,11.0784425209007,0,0
gene-OO714_RS01725,-5.14038212190547,10.0807742968071,6.93934375962856e-245,4.93248554434398e-242
gene-OO714_RS01780,-4.69606148214478,11.3182230388323,1.78913121214272e-241,1.0597620546592e-238
gene-OO714_RS02795,-4.93460430756456,10.6958077011406,4.0864938510822e-239,2.07477130667802e-236
gene-OO714_RS18160,-3.93590627144327,11.6526319871813,4.55268728749653e-226,2.02253132747034e-223
gene-OO714_RS14295,-4.11433537619708,8.34100198397708,1.14798836191611e-215,4.53327848694429e-213
gene-OO714_RS04820,-4.7000347896483,9.73596925702014,8.26852591601696e-190,2.93863411055243e-187
gene-OO714_RS16695,-6.08995326353621,10.3930091309097,1.20411475375361e-185,3.89038530440029e-183
gene-OO714_RS05665,-3.30732805087562,10.2037483663144,1.25920626920452e-176,3.72934923396071e-174
gene-OO714_RS02280,-4.28097473740452,9.8303883832381,7.78247404033533e-175,2.12760867225783e-172
gene-OO714_RS04920,-4.38522942265752,9.02033376914677,1.57615399799818e-141,4.0011795063468e-139
gene-OO714_RS07030,-3.31256531932544,8.89750335023325,1.5730897648567e-137,3.72717401620048e-135
gene-OO714_RS15530,-2.8411391595479,10.1620771513857,1.80179936917725e-135,3.9329056395852e-133
gene-OO714_RS15520,-2.81802194945907,10.9536163762627,1.8812435529811e-135,3.9329056395852e-133
gene-OO714_RS07160,2.92912585942153,8.20955625782667,8.0353125605199e-127,1.58652782444932e-124
gene-OO714_RS17115,-3.02634461111445,8.42041020970705,5.38548257636907e-122,1.0073686882324e-119
gene-OO714_RS01920,-3.99423445544369,11.6231068541571,7.39519374072242e-122,1.31412592772637e-119
gene-OO714_RS02310,-2.51628698666947,10.7451278024634,6.907043871737e-121,1.16893494857873e-118
gene-OO714_RS02275,-2.68371246252157,8.43864204744275,8.65920658198788e-110,1.39885546329022e-107
gene-OO714_RS11250,-2.85384341603088,9.39463612529948,4.10006812066505e-108,6.33549656558416e-106
gene-OO714_RS06340,2.66753824207093,6.70542326953792,1.80990875722508e-107,2.6801732179908e-105
gene-OO714_RS05350,-2.49365411716834,8.25944958038182,4.15471436807579e-107,5.90634194565654e-105
gene-OO714_RS18365,2.4925151830447,6.34757421655864,9.01588717944311e-104,1.23240242445157e-101
gene-OO714_RS18000,-3.39411697822133,10.1659398862525,6.52040800173373e-103,8.58278890302284e-101
gene-OO714_RS08375,2.31828229624589,8.85402722147719,1.79146670883514e-102,2.27388310114288e-100
gene-OO714_RS06300,-5.40181237870553,12.9644776420107,4.94398516266689e-101,6.05893905797176e-99
gene-OO714_RS03220,2.72923167434708,8.04085028391526,3.35315965363134e-100,3.9723764696686e-98
gene-OO714_RS01160,-4.57292355509477,8.61291656657046,9.71946842529557e-98,1.11429002527421e-95
gene-OO714_RS00330,2.34480958632812,6.93868917046727,1.42996371485696e-97,1.58815345081302e-95
gene-OO714_RS18280,-5.91553333369961,8.74187026455036,1.99125784324911e-97,2.14452435603253e-95
gene-OO714_RS18170,-2.32550588330088,8.52468484351156,6.24828743095915e-96,6.53129809694966e-94
gene-OO714_RS13975,3.07541118140231,7.27391200154433,2.65454129130514e-94,2.69549707122813e-92
gene-OO714_RS02225,2.78067716312136,6.52281412268072,1.93794137917917e-91,1.91317879488965e-89
gene-OO714_RS07895,-2.12033255357765,6.15547581871992,1.94101862104153e-90,1.86442707545448e-88
gene-OO714_RS09060,-2.09375637904533,7.01252196616176,4.04581673570051e-90,3.78390333649463e-88
gene-OO714_RS05690,-4.30615073413436,8.47478547169954,1.15084614324039e-89,1.04874543412214e-87
gene-OO714_RS15525,-2.73271694961025,11.3719089324306,1.47283983608257e-89,1.30861819435936e-87
gene-OO714_RS07035,-2.54115212898352,8.87030817738875,4.54707478208494e-89,3.9415375062268e-87
gene-OO714_RS16295,2.57959665048201,6.12089766532628,5.54720943781766e-89,4.69399579571523e-87
gene-OO714_RS02800,-2.14203579251176,9.72426032821829,6.78705834851926e-89,5.60958264433429e-87
gene-OO714_RS17285,-4.1002672096986,9.4827649823683,1.56609407652545e-88,1.26497689726624e-86
gene-OO714_RS06335,2.36037144121951,6.20510104208708,1.1971586352514e-87,9.45489286596324e-86
gene-OO714_RS12560,3.6285156571856,5.35645501795157,1.36918442154872e-86,1.05784379004003e-84
gene-OO714_RS15955,2.00295411411522,6.43748740010242,4.0593446221414e-83,3.069555486615e-81
gene-OO714_RS16210,-1.93129767798554,7.93667263382124,5.14341596229776e-83,3.80827090208463e-81
gene-OO714_RS14810,-2.60224986378805,9.85249664300754,9.3766176563224e-83,6.80091819399383e-81
gene-OO714_RS01925,-4.36627941094073,8.77193762168581,1.67532891813606e-82,1.19082379501111e-80
gene-OO714_RS17565,2.04067605495935,9.13226399343704,7.52700770673548e-82,5.24529125288978e-80
gene-OO714_RS16105,-1.83919507984907,8.06638322958459,1.5477473702152e-81,1.05782579879708e-79
gene-OO714_RS03935,-1.86328519813135,9.10660303957727,3.34468573436986e-78,2.24283266036802e-76
gene-OO714_RS08780,2.28325239043238,5.15569000704359,1.07465587889926e-77,7.07282776594066e-76
gene-OO714_RS02900,-2.16030786848936,7.78189609396147,2.44796253698921e-76,1.58182888299267e-74
gene-OO714_RS01145,2.60322903161562,5.19345950456347,9.65298244947786e-76,5.95877906378245e-74
gene-OO714_RS06800,-1.99788237372369,10.5130137357032,9.7222329268651e-76,5.95877906378245e-74
gene-OO714_RS10455,1.71247408908308,6.78382493149351,9.72451282215482e-76,5.95877906378245e-74
gene-OO714_RS06330,3.00408596630781,5.8429387504236,6.07338979568531e-75,3.65844531082468e-73
gene-OO714_RS12980,2.36296624337371,6.74485356273179,1.70964697634706e-74,1.01268089232291e-72
gene-OO714_RS01915,-1.95362855665268,9.61659563477399,1.11998349410238e-73,6.52528088203257e-72
gene-OO714_RS06785,-2.05341279314226,8.32061858120501,7.30322013055797e-71,4.18639424903275e-69
gene-OO714_RS06290,-1.67677597693682,8.22574083627681,2.13252812135985e-70,1.20301665766872e-68
gene-OO714_RS04825,-1.80859839203836,10.6100739794662,3.97654170290415e-70,2.20822331439396e-68
gene-OO714_RS13430,-3.26838989615141,6.40978539784791,1.07741402735515e-69,5.89096838956955e-68
gene-OO714_RS13265,-2.90397233648284,9.99656433598979,1.49008584230951e-68,8.02388649025455e-67
