Gene	Terms
NSRP1	GO:0000381,GO:0005654
PDCD6	GO:0005509,GO:0048306
CDK1	GO:0004674,GO:0005524,GO:0051301,GO:0005654,GO:0005829
SLC35B3	GO:0055085,GO:0016020
SERPINB6	GO:0004867,GO:0005615
CEACAM5	GO:0005886
TADA2A	GO:0003713,GO:0005515,GO:0008270,GO:0000278,GO:0001932,GO:0006325,GO:0006357,GO:0031647,GO:0045893,GO:0045995,GO:0051302,GO:0051726,GO:0090043,GO:0005634,GO:0072686,GO:0140672
DNAJC25-GNG10	GO:0031681,GO:0006457,GO:0007186,GO:0005834
CPEB1	GO:0003730,GO:0045182,GO:0006417,GO:0005654,GO:0005829
CRYAB	GO:0005634,GO:0005737
GRAMD1B	GO:0005789,GO:0005886,GO:0044232
MAP2	GO:0008017,GO:0005737,GO:0005874
HDLBP	GO:0003723
TMEM120A	GO:0005637,GO:0005886
EHD1	GO:0005509,GO:0005524,GO:0005525,GO:0005886,GO:0010008
CTSF	GO:0008234,GO:0006508,GO:0005764,GO:0005783,GO:0005886,GO:0043231
DIO2	GO:0004800,GO:0042446,GO:0016020
SERPINA1	GO:0004867,GO:0005615
NDUFA5	GO:0022904,GO:0005743
ELOF1	GO:0003746,GO:0046872,GO:0006414,GO:0005634
RFXANK	GO:0005654,GO:0005829
YTHDF3	GO:0003723,GO:1990247,GO:0043488
GFI1B	GO:0003677,GO:0005654,GO:0005886
HNRNPA2B1	GO:0003723,GO:1990904
PSMA2	GO:0006511,GO:0005634,GO:0005737,GO:0019773
SEPTIN7	GO:0005525,GO:0007283,GO:0000776,GO:0031514,GO:0032154,GO:0031105
RPL41	GO:0003735,GO:0006412,GO:0005840,GO:1990904
SLC22A18	GO:0022857,GO:0055085,GO:0016020
BAG6	GO:0002376,GO:0006325,GO:0006915,GO:0007283,GO:0030154,GO:0005576,GO:0005634
ZSCAN26	GO:0005654,GO:0005829
LST1	GO:0000902,GO:0006955,GO:0016020
MSH5-SAPCD1	GO:0005524,GO:0030983,GO:0140664,GO:0006298,GO:0007127,GO:0032301
PPT2	GO:0098599,GO:0098734
ATP11C	GO:0000287,GO:0005524,GO:0016887,GO:0140326,GO:0015914,GO:0034204,GO:0012505,GO:0016020,GO:0046872,GO:0016020
RPS19	GO:0003735,GO:0006412,GO:0005840,GO:1990904
VGLL4	GO:0006355
LRRC7	GO:0005654,GO:0005813,GO:0005829,GO:0005886
DNAH8	GO:0005524,GO:0008569,GO:0016887,GO:0045505,GO:0051959,GO:0007018,GO:0005874,GO:0005930,GO:0097729,GO:0030286
HM13	GO:0042500,GO:0098553,GO:0098554
NOSIP	GO:0061630,GO:0005654,GO:0005737
DMD	GO:0003779,GO:0008270,GO:0050998,GO:0001954,GO:0002027,GO:0006355,GO:0006915,GO:0006941,GO:0006954,GO:0007271,GO:0007519,GO:0008065,GO:0008104,GO:0008340,GO:0009410,GO:0010467,GO:0010881,GO:0014809,GO:0014904,GO:0021629,GO:0033137,GO:0035264,GO:0035994,GO:0043403,GO:0046716,GO:0051647,GO:0055002,GO:0060173,GO:0060348,GO:0060857,GO:0061448,GO:0065003,GO:0070373,GO:0086001,GO:0090659,GO:1902083,GO:1903409,GO:0005856,GO:0030018,GO:0030055,GO:0042383,GO:0044306,GO:0045121,GO:0045211,GO:0099572,GO:0016010
CRB1	GO:0005509
FILIP1	GO:0005730,GO:0005886,GO:0015629
DAB1	GO:0043231
TJAP1	GO:0016020
PTPRT	GO:0004725,GO:0007155,GO:0005886
TMCO4	GO:0016020
KAT14	GO:0016747,GO:0000086,GO:0045995,GO:0051302,GO:0051726,GO:0005634,GO:0140672
NDUFAF6	GO:0009058,GO:0005743
CHD6	GO:0005654
KCNG1	GO:0005249,GO:0051260,GO:0071805,GO:0008076
FNBP1L	GO:0007165,GO:0005829,GO:0005856,GO:0005938,GO:0016020,GO:0031410
A0A075B6Q4	GO:0042274
HELZ	GO:0046872
HHAT	GO:0016020
ZNF268	GO:0006355
TRDC	GO:0009897
RPS17	GO:0003735,GO:0006412,GO:0005840,GO:1990904
TCF4	GO:0005634
TUBB8	GO:0003924,GO:0005200,GO:0005525,GO:0007010,GO:0007017,GO:0005737,GO:0005874,GO:0045171,GO:0072686
BOP1	GO:0006364,GO:0005654,GO:0005694,GO:0005730
EPPK1	GO:0045104,GO:0005737,GO:0005886,GO:0030054,GO:0042995,GO:0045111
MOSMO	GO:0016020
TUBB8	GO:0005737,GO:0003924,GO:0005200,GO:0005525,GO:0007010,GO:0007017,GO:0005737,GO:0005874,GO:0015630,GO:0045171,GO:0072686
CCDC187	GO:0008017,GO:0034453,GO:0005813
SRGAP2	GO:0007399
PDE4DIP	GO:0005794,GO:0005815
LIPG	GO:0004465,GO:0006629,GO:0005576
ANXA8L1	GO:0005509,GO:0005544
ATAD5	GO:0005524,GO:0016887
RASSF5	GO:0046872,GO:0007165
ANXA8	GO:0005509,GO:0005544
RELCH	GO:0032367,GO:0005802,GO:0016020
RERE	GO:0008270,GO:0043565,GO:0006355,GO:0005654
ZNF582	GO:0006355,GO:0006355
PEX12	GO:0008270,GO:0016558,GO:0005778
ABCA8	GO:0005524,GO:0016887,GO:0140359,GO:0055085,GO:0016020
ABCA5	GO:0016020
TNPO2	GO:0031267,GO:0006606,GO:0005634,GO:0005737
LAMA3	GO:0005576
USP36	GO:0004843,GO:0006508
RELCH	GO:0032367,GO:0005802,GO:0016020
PTPRC	GO:0004725,GO:0050852,GO:0016020
ZNF780A	GO:0006355
CYP2F1	GO:0004497,GO:0005506,GO:0016705,GO:0020037
ZNF780A	GO:0006355
NOSIP	GO:0061630,GO:0005634
RPL18	GO:0003735,GO:0006412,GO:0005791,GO:0005840,GO:1990904
SPHK2	GO:0016301
KLK2	GO:0004252,GO:0006508
ZNF780A	GO:0006355
SYNM	GO:0005200,GO:0008307,GO:0045104,GO:0005882
NEK11	GO:0004672,GO:0005524
IKBKE	GO:0004674,GO:0005524,GO:0010628
SRGAP2	GO:0007165,GO:0007399
CAPNS1	GO:0005509,GO:0005737
CCL5	GO:0008009,GO:0006955,GO:0007165,GO:0060326,GO:0005615
IKBKE	GO:0004674,GO:0005524,GO:0010628
BABAM2	GO:0031593,GO:0006302,GO:0006325,GO:0006915,GO:0007095,GO:0010212,GO:0045739,GO:0051301,GO:0005737,GO:0070531,GO:0070552
IKBKE	GO:0004674,GO:0005524,GO:0010628
SRGAP2	GO:0007165
RHEX	GO:0016020
ZNF595	GO:0003677,GO:0046872,GO:0005634,GO:0046872,GO:0006355,GO:0005634
APBB1	GO:0001540
A0A087WSV2	GO:0005758,GO:0005765,GO:0031083
LILRB1	GO:0007166,GO:0016020
HELT	GO:0003677,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0046983,GO:0006355,GO:0005634
CFAP70	GO:0003341,GO:0060271,GO:0005930,GO:0036126
ZNF43	GO:0046872,GO:0006355,GO:0005634
FAM72C	GO:0005829,GO:0043231
HELLS	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338
LILRB1	GO:0007166,GO:0016020
MUSK	GO:0004714,GO:0005524,GO:0046872,GO:0005886,GO:0045202
CPB2	GO:0004181,GO:0008270,GO:0006508,GO:0042730
ACTN3	GO:0003779,GO:0005509,GO:0005737,GO:0015629
DHRS4L2	GO:0016491
CD302	GO:0005938,GO:0016020,GO:0030175
PMF1-BGLAP	GO:0051301,GO:0005634,GO:0000444
CENPS-CORT	GO:0005179,GO:0046982,GO:0007165,GO:0007165,GO:0005576,GO:0071821
ALG13	GO:0004577,GO:0006488
KIAA1191	GO:0005737
DCAF13	GO:0016567,GO:0005654,GO:0005730,GO:0005813,GO:0005829,GO:0030054,GO:1990904
CECR2	GO:0006338,GO:0090537
TP53	GO:0000976,GO:0003700,GO:0046872,GO:0006915,GO:0045893,GO:0048511,GO:0005759,GO:0005783,GO:0005813,GO:0016605
UBXN8	GO:0005654,GO:0005730,GO:0005783,GO:0016020
VAC14	GO:0006661,GO:0070772
PGM3	GO:0004610,GO:0046872,GO:0005975,GO:0006048
NOPCHAP1	GO:0000492
MBD3	GO:0043227,GO:0043229
PIP4K2B	GO:0005524,GO:0052742,GO:0046488
LIME1	GO:0050852,GO:0050853
SLC2A8	GO:0022857,GO:0055085,GO:0071702,GO:0005886
HMOX2	GO:0004392,GO:0046872,GO:0006788,GO:0016020
GRIPAP1	GO:0005654,GO:0005829,GO:0043231
DNAJA2	GO:0030544,GO:0046872,GO:0051082,GO:0006457,GO:0016020
GFOD2	GO:0000166,GO:0016491,GO:0005576
DNAAF8	GO:0070840,GO:0005737
CHEK1	GO:0004674,GO:0005524,GO:0006974,GO:0005634
MAGI1	GO:0005654,GO:0005730,GO:0030054
DCP1A	GO:0008047,GO:0000290,GO:0005737,GO:0043229
A0A087WT57	GO:0050852,GO:0050853
TTR	GO:0005179,GO:0070324,GO:0007165,GO:0005576
NPIPB4	GO:0016020
MCL1	GO:0006915,GO:0006950,GO:0030154,GO:2001233,GO:0005654,GO:0005739,GO:0016020,GO:0097136
TMC4	GO:0034220,GO:0005886
ZNF195	GO:0046872,GO:0006355
STK11	GO:0004672,GO:0005524
SPPL2B	GO:0042500,GO:0005654,GO:0005813,GO:0005886,GO:0015629
HSP90B1	GO:0005524,GO:0016887,GO:0051082,GO:0140662,GO:0006457,GO:0060255,GO:0005783,GO:0042470
SLC1A3	GO:0015179,GO:0015293,GO:1902475,GO:0005886
MRPL46	GO:0003735,GO:0005739,GO:0005840,GO:1990904
LAMTOR4	GO:0032008,GO:0071230,GO:0071986
ACOT2	GO:0016790,GO:0052689,GO:0006637
C11orf54	GO:0005654,GO:0016604
CNTNAP4	GO:0007155,GO:0016020
SPINK2	GO:0004867,GO:0007286
RAD54L	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338,GO:0005654
ZNF772	GO:0046872,GO:0006355,GO:0005634
IL6R	GO:0004896,GO:0019221,GO:0016020
GNAO1	GO:0003924,GO:0019001,GO:0031683,GO:0007186
HTD2	GO:0016836
ZC3H14	GO:0005730,GO:0016607
NPRL3	GO:0032007,GO:0034198,GO:0005764,GO:1990130
CYP39A1	GO:0004497,GO:0005506,GO:0016705,GO:0020037,GO:0006694,GO:0044283,GO:1901617,GO:0043231
NOMO2	GO:0005789
AKAP13	GO:0005085,GO:0046872,GO:0005829
GFOD2	GO:0000166,GO:0016491,GO:0005576
ALDH3B1	GO:0016491,GO:0006081
EPHB6	GO:0005524
ANK3	GO:0007165
