Gene,logFC,logCPM,PValue,FDR
A1BG,1.11433950593016,0.930515899079996,1.45545186306057,0.227655165560536
A1BG-AS1,1.5986674354955,0.98423419289419,0.521311745449992,0.470282664515712
A1CF,0.237765243050253,1,0.00657616164841812,0.935367565952708
A2M,0.30263369794857,0.89785960491248,1.9475194209169,0.162854407703702
A2M-AS1,1.06555418083524,0.931627762662424,1.44502388556285,0.229328093555075
A2ML1,0.285705888123371,0.98033332340411,0.651797393533187,0.419470796590874
A3GALT2,4.9871569923437e-05,0.284766594111074,11.6560886154117,0.000639927459936905
A4GNT,0.186119321276024,1,0.109492698120874,0.740722432474663
AAAS,0.584328270261224,0.980484454233552,0.610340266777825,0.434659722454159
AACS,0.145250809483793,0.875025446205842,2.26961630121082,0.131932562832699
AACSP1,0.376900125418395,0.744331419963515,4.00380336105644,0.0453977122549902
AADAT,1.18044639311836,0.264529953047301,12.2458236098333,0.000466300667382479
AAK1,1.24925764016168,0.87230179973625,2.34334611582457,0.125819033451043
AAMDC,0.8184661072217,0.89108905128611,2.08792852119646,0.148467263000905
AAMP,1.02264973293574,0.54568166882494,7.05353266513475,0.00791090833577624
AAR2,0.790107682569837,0.975674326800813,0.722074448251618,0.3954642944423
AARD,1.47455984129117,0.632332242068334,5.44122703558318,0.0196668487928763
AARS1,0.309407793518773,0.679243189494209,4.86850626844483,0.0273511654552184
AARS2,0.383893329410997,0.733869805717401,4.16232153804137,0.0413327156243668
AASDH,1.17726555427911,0.367486773552293,10.2250203369368,0.00138548214138855
AASDHPPT,0.680541690389574,0.905263836819291,1.85240748003073,0.173503649611278
AASS,1.70668993246587,1,0.0397290219468829,0.842011337398839
AATF,1.28614817717516,0.853686553641492,2.55844283356683,0.10970659323927
AATF_1,1.16233193250385,0.767014519240913,3.68785617471434,0.0548100220951224
AATK,0.342185256044189,0.868089460979918,2.39298807258581,0.121880465310642
ABAT,1.2323141230166,0.839706442867746,2.7749012084567,0.0957525643221815
ABCA10,0.793796995241981,0.96707886801259,0.888070104451486,0.346000827615662
ABCA11P,2.11586297427514,0.980523516794615,0.607757810582086,0.4356332852144
ABCA12,0.290235271470677,1,-0.00871389281266488,1
ABCA17P,6.88428996355203e-05,0.650132550622105,5.18957862754513,0.0227227250081158
ABCA3,0.359845050396045,0.759619129578021,3.83005323102489,0.0503413339593505
ABCA5,0.0795831440384103,0.692123306328529,4.63538055531413,0.031319197701556
ABCA7,0.505384941876086,0.597128992734696,6.02563936095412,0.0140995233490053
ABCA9,0.274988578699144,0.844902140825079,2.69748455199073,0.10050670670891
ABCB1,0.669985480098127,0.43909881481963,8.87189982654056,0.00289593607102157
ABCB10,0.443677906291865,0.591158513327708,6.16469007853925,0.0130325204353676
ABCB11,0.227780307524539,1,0.0573295171907944,0.810767648709311
ABCB4,0.439576157224218,0.974591698136017,0.756907663471168,0.384297997320604
ABCB6,0.734767913795782,0.874931801010005,2.27552456590627,0.131430648817694
ABCB7,0.532084135762644,0.650132550622105,5.18974550854458,0.0227205431494295
ABCB8,0.197661325773195,0.950428704356149,1.09656898653449,0.295020303210104
ABCB9,2.24958427671118,0.54568166882494,7.05181162410091,0.00791851258187583
ABCC1,0.340752278097224,0.891879024921194,2.07155988033742,0.150067964045013
ABCC10,0.205845789439823,0.537910330949702,7.21183599159556,0.00724243711151327
ABCC1_1,0.147985286552484,0.86994941339128,2.36575036866989,0.124024264662273
ABCC11,0.287665668655191,1,0.043846644878812,0.83413918953136
ABCC12,0.341870796093134,1,0.0620502605172106,0.803284282590669
ABCC5,0.72729469520388,0.727009043941373,4.22457104385543,0.0398426890276456
ABCC6,0.186762779911271,0.872593732943677,2.32161854079023,0.127587208205875
ABCC6_1,0.184189191627811,0.864092530804001,2.43658964548084,0.118533678486295
ABCC6P2_1,0.644696706047966,0.919087625965724,1.63857209163017,0.200521495460086
ABCC8,0.14828428821101,0.54568166882494,7.01701473782674,0.00807387303018332
ABCC9,0.512714408296143,1,-0.003507025830217,1
ABCD1,0.762803081725253,0.938304977188692,1.31877233344551,0.250812497328912
ABCD2,0.571581922935056,0.774415730322821,3.5764728649535,0.0586034577011568
ABCD3,0.206503635026433,0.967435508156555,0.875573915871655,0.349416820730157
ABCD4,0.177353644542579,0.93524206986713,1.38086282364993,0.239954231761548
ABCE1,0.62023129423442,0.997981891548896,0.220941338580246,0.638323599811149
ABCF1,2.11306125543034,1,0.0101307637884815,0.919826958036368
ABCF1_1,1.95242625256943,0.965522556572495,0.915066254871135,0.338773756043189
ABCF1_2,1.95275493878824,0.949137722044152,1.11878465364535,0.290180300003515
ABCF1_3,2.13739393665332,1,0.0496618312841406,0.823652760525917
ABCF1_4,2.11442477938937,0.98556571289537,0.494596661835686,0.481883972702015
ABCF1_5,0.206061009007643,0.986143512718068,0.482483862498498,0.487299377962769
ABCF1_6,0.142767333162836,0.939269222083462,1.28208938310652,0.257510911049255
ABCF1-DT,0.685987035364673,0.987277513242599,0.466226470462644,0.494728310111457
ABCF3,0.59446777325554,0.745802085298461,3.99498270073545,0.0456359209187302
ABCG4,0.721861834815191,0.607812793301982,5.89186062321028,0.0152110206996622
ABCG5,0.282632047972792,0.848642382948988,2.6627484081076,0.102723099601818
ABCG8,0.275852264170878,1,-0.0334852308169005,1
ABHD10,0.879783027316372,0.990796737140454,0.371217208540088,0.542341531682578
ABHD11,0.437620990400729,0.997287582931029,0.236883655903938,0.62646601878886
ABHD12,1.45882248061932,0.875025446205842,2.27036685371058,0.131868684052138
ABHD12B,0.261358466663088,0.953295227311479,1.05991713597493,0.303234085073439
ABHD14A,2.4176962620006,0.770715642747812,3.61471483685955,0.0572705392605784
ABHD14B,0.494687788967993,0.978970011217459,0.676291943121868,0.410866511976247
ABHD15,1.64780142431896,0.941892797572302,1.24875859473067,0.263789711463414
ABHD16A,0.244001526573357,0.712061445803034,4.41898943742746,0.0355410792919545
ABHD16A_1,0.132008602883698,0.696593228468806,4.60754466967168,0.0318315787365313
ABHD16A_2,0.235100294926455,0.746924298725516,3.98977605498807,0.0457771480815154
ABHD16A_3,0.136361755940614,0.717492344781127,4.35051427814675,0.0369977722987368
ABHD16A_4,0.131656145886473,0.641335012205736,5.33060489054583,0.0209541115507946
ABHD16A_5,0.184872456784813,0.598429721004594,5.99347133631161,0.0143589183209931
ABHD16A_6,0.180641346311552,0.844827232519206,2.69856532461083,0.100438590140649
