gene,logFC,logCPM,PValue,FDR
ENSP00000354499,14.5067109936116,8.04565692847209,1.21675123438646e-272,2.01749522173619e-268
ENSP00000355265,14.278482919156,7.81761755980003,1.38407394272215e-266,1.1474665022138e-262
ENSP00000354665,14.0623796818179,7.60169137511983,4.51564628109287e-240,2.49579769956003e-236
ENSP00000354876,14.4521093107525,7.99112127056564,3.90472151040669e-237,1.61860468410133e-233
ENSP00000354728,14.3131828447334,7.85229943856893,1.50758921345871e-231,4.99946734967176e-228
ENSP00000355046,14.3466623783852,7.88575228941806,6.46382924356836e-228,1.78627921146012e-224
ENSP00000354687,14.3386535311673,7.87775899567145,5.01859006649518e-226,1.18876059846509e-222
ENSP00000481908,13.8642655587244,7.40380001490948,2.76342533416586e-222,5.72754443322552e-219
ENSP00000506665,13.7697554341964,7.30937943779633,1.7846848741736e-211,3.28798443318583e-208
ENSP00000229239,14.1154774152601,7.65479345829418,3.72579034110838e-210,6.1777329645918e-207
ENSP00000366525,14.2936799707335,7.83282106491596,1.87464495879453e-209,2.82577164197928e-206
ENSP00000378394,13.882209171788,7.42171352509454,1.59361722284104e-205,2.20198059766061e-202
ENSP00000499044,13.9588201585144,7.49827595296081,3.08728926059456e-202,3.93771870999373e-199
ENSP00000437062,13.9262457426374,7.46575317196535,1.49807539599156e-199,1.77425629578115e-196
ENSP00000324173,13.6494497905159,7.18924039089323,5.83872383689662e-197,6.45412532930552e-194
ENSP00000399137,13.6826495955316,7.22240872086468,1.03403093722513e-195,1.07157918563312e-192
ENSP00000505575,13.6624724231723,7.20222837741561,9.38316148667825e-195,9.15189415356542e-192
ENSP00000341289,13.7072121061718,7.24694897530924,9.66053805617128e-194,8.89896563940977e-191
ENSP00000431659,13.9392230102285,7.47872095128861,2.03511311650226e-191,1.77601108340653e-188
ENSP00000216281,13.6990276824162,7.23878077597366,1.65509464422949e-189,1.37215621479846e-186
ENSP00000362671,13.8173086305252,7.35693465307288,2.34012719872183e-189,1.84769757533365e-186
ENSP00000470447,14.039300691119,7.57870278983589,4.33264614989979e-188,3.26543662779493e-185
ENSP00000363676,13.7978708175192,7.33752059880843,1.07635575317082e-187,7.75958901883709e-185
ENSP00000473664,13.6156711088684,7.15552097355307,1.24557048803235e-187,8.60533510919349e-185
ENSP00000510198,13.6236744631615,7.16351793608496,2.67459149499351e-186,1.7738960631395e-183
ENSP00000377507,13.6199763899721,7.15981423059215,1.90383929742883e-182,1.21413689964106e-179
ENSP00000272102,13.6575704574621,7.19736362076553,8.67287298928286e-182,5.32610766797404e-179
ENSP00000346129,13.5738415000411,7.11371736735437,5.76259100861343e-180,3.41248291120783e-177
ENSP00000238081,13.5392223948673,7.07916091547859,1.00432409331753e-179,5.74230958320618e-177
ENSP00000504662,13.9957337227122,7.53518353595735,1.2155865149239e-179,6.71854666798441e-177
ENSP00000501006,13.7745124886678,7.31419850414009,8.31599690669745e-179,4.44798531322421e-176
ENSP00000432181,13.5024038873139,7.04235459668427,1.07408377342255e-178,5.56543220222476e-176
ENSP00000369757,13.8760393008202,7.41560893209408,1.11120347735799e-178,5.58329238123418e-176
ENSP00000252818,13.5605553571746,7.10044944285385,3.5411459203683e-178,1.72693354428314e-175
ENSP00000497923,13.8831677059976,7.42273207087308,2.7277233805836e-177,1.29223946781305e-174
ENSP00000237654,13.4906565900445,7.03064878598281,1.21647505443068e-176,5.60288135486529e-174
ENSP00000503222,13.6644186396725,7.20415684723421,7.8853369701423e-176,3.5336965487008e-173
ENSP00000360671,13.7451850036853,7.28489724068177,7.02415744642094e-175,3.0649356478712e-172
ENSP00000349878,13.4852629022534,7.02526290103842,1.60489087782026e-174,6.82325529362506e-172
ENSP00000269321,13.523907947415,7.06388257467777,8.17060939254406e-173,3.38692185844433e-170
ENSP00000449328,13.8480811377016,7.38767947061171,8.6344128609597e-173,3.49188291823348e-170
ENSP00000465120,13.7729345777249,7.31261122607445,9.87050279669754e-172,3.89673349695338e-169
ENSP00000473953,13.7995284188779,7.33919209579793,1.44882877571036e-171,5.58675114652406e-169
ENSP00000494440,13.5679388153458,7.10786772395674,2.01938720230312e-170,7.60987709122454e-168
ENSP00000321260,13.8314063799223,7.37101849358805,3.67295117049477e-170,1.35336007462164e-167
ENSP00000379731,13.6679961394193,7.20780129157561,6.36047665823196e-170,2.29267529282922e-167
ENSP00000498019,13.6827467315949,7.22254872282551,5.16305105101624e-169,1.82145849950852e-166
ENSP00000361883,13.4715742213189,7.01161119036218,8.34532706437586e-169,2.88278891780033e-166
ENSP00000262030,13.7843435156718,7.32401467613018,1.38155209579238e-168,4.67500312251704e-166
ENSP00000311430,13.7305878420397,7.27031347805224,4.71203627962937e-168,1.56260547105069e-165
ENSP00000233143,14.1910652859548,7.7303277319987,2.4218272089324e-167,7.87378763751139e-165
ENSP00000473120,13.5281213346579,7.06810728949829,6.63170717359333e-166,2.11462185856444e-163
ENSP00000364934,13.7248341016058,7.2645854960772,1.69377743394748e-165,5.29896672307228e-163
ENSP00000323571,13.4541793538478,6.9942268316313,2.25003161411039e-165,6.9088470728823e-163
ENSP00000506584,13.4498786838127,6.98995868087281,6.20374107303171e-165,1.87025874058071e-162
ENSP00000242465,13.4936621360422,7.03362093344346,3.31617257957978e-164,9.81883170393076e-162
ENSP00000258739,13.4500351373396,6.99012054255034,8.21833759404313e-164,2.39067115169876e-161
ENSP00000395701,13.484130974926,7.02413021365409,9.07184465359871e-164,2.59345269312621e-161
ENSP00000418493,13.4009907942012,6.94108239748842,5.29383196838518e-163,1.48774623504737e-160
ENSP00000264335,13.542603692986,7.0825797812376,1.79663482548148e-162,4.96500034021806e-160
ENSP00000303366,13.3869806207839,6.92713251917855,3.94976866463949e-162,1.07362482341619e-159
ENSP00000399457,13.4980931985305,7.03812930585208,4.20665842857183e-162,1.12500973232499e-159
