gene,logFC,logCPM,PValue,FDR
ENSP00000406531,9.75375560203774,9.56526516643819,1.87443002348252e-161,9.20907470536964e-158
ENSP00000376077,-5.91404698237267,6.50156081318117,5.00149375970579e-129,1.22861694207173e-125
ENSP00000383981,-7.74102087752952,10.4994737593322,7.884864819204e-100,1.29127802855831e-96
ENSP00000425150,4.45964478015774,8.1035045799028,9.77256797890701e-81,1.20031566200925e-77
ENSP00000400596,-4.76676298369323,10.3776622738714,2.4596365629473e-69,2.41683888675202e-66
ENSP00000347168,8.34081032054589,5.28756439098655,8.82089374995359e-66,7.22284183225367e-63
ENSP00000482577,-6.01232785111548,10.427310940575,1.40747544403004e-65,9.87846693788509e-63
ENSP00000262306,-6.32143904383118,7.36442085563111,2.26587312153202e-63,1.39152933076085e-60
ENSP00000489662,11.0910216737218,6.2174463827558,5.9614731667873e-62,3.25430196315844e-59
ENSP00000478703,-5.5617173995446,10.4813340014947,2.29841993162454e-60,1.12921371240714e-57
ENSP00000501561,5.41917675759858,8.76579046801331,5.78105248911783e-60,2.58202826173053e-57
ENSP00000480373,5.31416954717043,5.86973703775018,2.02578470095464e-59,8.2939001964918e-57
ENSP00000418221,-4.30713473037901,7.02038749135289,4.18024706301039e-57,1.57981183235154e-54
ENSP00000428755,-3.99954256082505,9.79231038041447,1.30666584434258e-56,4.58546378089648e-54
ENSP00000307423,5.02185905085567,5.51481295953347,2.21145481877247e-56,7.2432516830861e-54
ENSP00000397843,-5.37889991375769,6.20091833373654,1.66978936843512e-55,5.12729697945109e-53
ENSP00000418082,-6.26751223849312,10.5948926670119,3.80406282564161e-55,1.09937415661043e-52
ENSP00000319578,6.7485880988418,6.14102622010433,8.9649054003592e-54,2.44692112399804e-51
ENSP00000448617,-3.92367730296546,10.6602805861669,2.68373447599984e-53,6.93957235820379e-51
ENSP00000346027,-4.78823795583961,10.1779229158506,2.21011236227562e-52,5.42914101793006e-50
ENSP00000359386,-3.25425873560063,5.84968862243484,5.53814003564567e-51,1.29566104738701e-48
ENSP00000318646,-5.83586367037425,10.1538357146997,7.50838567960863e-51,1.61168834716913e-48
ENSP00000444736,8.82716317405744,5.35178255124426,7.54505027170569e-51,1.61168834716913e-48
ENSP00000307889,-5.09368761167908,11.6591047915401,7.34902674490201e-50,1.50440701657098e-47
ENSP00000349705,5.01552663980792,5.33616791859672,1.17396863490309e-49,2.30708316131156e-47
ENSP00000416429,-4.13107935968169,10.7955395866854,3.73912951556169e-49,7.06551665767484e-47
ENSP00000378162,-4.61398385525399,9.96739164957962,5.30606815474004e-48,9.6550788311992e-46
ENSP00000457963,5.38366113303033,10.0344869794751,9.78801937092654e-48,1.71744782747722e-45
ENSP00000388600,-3.85094369632347,11.663409941884,2.05337980464018e-47,3.4787086138611e-45
ENSP00000462667,7.64227245619293,4.86499382092274,7.54379470029669e-47,1.23542211208526e-44
ENSP00000338516,-4.81580856607121,9.67013899584123,1.87620805768412e-46,2.97348715722648e-44
ENSP00000504042,-3.44185245269061,6.86975305623385,1.11704667547863e-45,1.71501572394578e-43
ENSP00000473953,-3.89379094202879,9.72162670208326,1.54281192587522e-44,2.29691969449241e-42
ENSP00000462348,3.20381518899343,7.92714652329279,2.21842589195969e-43,3.20562541388176e-41
ENSP00000482287,11.6938913834338,4.23859443647468,7.82948505893295e-43,1.09903600270107e-40
ENSP00000381859,-3.63028944579224,6.87100428428684,8.65981230485633e-43,1.18182382927109e-40
ENSP00000384474,3.06259591512456,6.49100746582506,2.80447684852602e-42,3.72389047481307e-40
ENSP00000382971,-5.17950547095507,6.62955057483031,6.09174216502009e-42,7.8759813833536e-40
ENSP00000216445,11.172987250556,6.59257510613484,1.00468689128425e-41,1.26564787099475e-39
ENSP00000357838,-3.21666164427205,7.18092315657077,1.64931472805735e-41,2.02577081473644e-39
ENSP00000343645,4.95369620797853,4.67999274725121,3.16814833408634e-41,3.79636896716248e-39
ENSP00000403679,-2.96951562731361,8.80553704443291,1.14638423613538e-40,1.34099660765074e-38
ENSP00000394643,8.70696867112029,7.4190547246746,3.70044593042556e-40,4.22797461771646e-38
ENSP00000373662,3.72654693331106,7.60820758512607,1.99385146085176e-39,2.22631641526471e-37
ENSP00000516729,11.6370085225998,7.85098993262269,7.03918683126429e-39,7.60067054138317e-37
ENSP00000352627,10.3585183517275,2.92016614650367,7.11644300638359e-39,7.60067054138317e-37
ENSP00000480129,-2.58918824133039,6.78087945043388,1.51907956353061e-38,1.58792295651615e-36
ENSP00000354554,-10.3240835283671,13.8921310466009,2.90033020228526e-38,2.96860880913073e-36
ENSP00000478448,-3.85018239860442,6.12217437633156,4.76278805434842e-38,4.77542402265588e-36
ENSP00000257555,9.06986050041136,5.62820895400857,6.9884964653138e-38,6.86689662681734e-36
ENSP00000479461,8.0859398465551,3.73519511674143,9.12077951268831e-38,8.78635093055641e-36
ENSP00000354982,-11.1819943144563,14.5254927839793,1.86041915928602e-37,1.75773833261005e-35
ENSP00000492284,-5.8229349272396,5.64393018129969,4.44092959537147e-37,4.11665794378492e-35
ENSP00000355046,-9.93541034815408,13.7498330511703,1.19634754745834e-36,1.08845472234497e-34
ENSP00000457693,-3.00910758590571,5.77334216859399,1.44913547429127e-36,1.29447319730782e-34
ENSP00000428657,4.45189396629237,5.1094547127989,1.53892216450811e-36,1.35012939182649e-34
ENSP00000354687,-10.2522492017763,13.9154600000166,1.87417375587914e-36,1.6154062566025e-34
ENSP00000377755,-3.39615079434167,6.19044943302385,2.21816252071204e-36,1.87893663176867e-34
ENSP00000509032,-3.81128734131523,8.57849200905858,2.36289076671966e-36,1.96760717574469e-34
ENSP00000404375,-4.00314256174137,9.25137315336424,2.90716169236782e-36,2.38048089910052e-34
ENSP00000325681,2.94496306030657,7.06948267871107,3.66833878578591e-36,2.95451614009282e-34
ENSP00000369757,-3.60615038338803,11.8643169627168,4.46978732785755e-36,3.54194599060712e-34
ENSP00000420195,-2.73100940758988,8.05568414596466,8.91142814756583e-36,6.94949944269697e-34
ENSP00000424987,2.80899872371402,10.1892564684924,1.29355439136863e-35,9.93005113249074e-34
ENSP00000430000,-2.92063769157342,6.98103670762624,1.37831393523538e-35,1.04179328674022e-33
ENSP00000328940,5.83144810729007,3.36544640451928,2.34046555146322e-35,1.74222837186951e-33
ENSP00000355265,-11.0359500199413,11.4634290968196,1.08309952550623e-34,7.94219099822704e-33
ENSP00000360033,-3.13504770025337,8.85279761781279,1.27791530669493e-34,9.2329380908709e-33
ENSP00000424907,-2.88766106279045,6.58937312339536,2.30846971284356e-34,1.6436973477102e-32
ENSP00000384651,2.43446213953329,7.35549329184526,2.42447669236264e-34,1.70163628422538e-32
ENSP00000354876,-10.4204222975424,13.5278177982434,2.79076976063051e-34,1.93113406112362e-32
ENSP00000358012,-2.74850111578596,8.34531300877176,7.56408129135938e-34,5.16143491450675e-32
ENSP00000429273,5.44632372317876,5.77215720998539,2.20356282359961e-33,1.48302796607464e-31
ENSP00000512017,-3.56108281318426,4.98459887949931,4.27526822487984e-33,2.83843145795063e-31
ENSP00000354632,-10.7944419164761,14.2013075053619,4.44151161200756e-33,2.89751679975901e-31
ENSP00000374529,2.92409727806068,7.00889550990533,4.48221609569886e-33,2.89751679975901e-31
ENSP00000504557,-3.93244546434991,4.77494236310517,4.77099667819094e-33,3.0441437246691e-31
ENSP00000484149,2.94935886621466,8.3663764782183,1.9402176969692e-32,1.22208840323201e-30
ENSP00000479106,7.3687499495562,3.16032106179967,2.0248469313757e-32,1.25924974352517e-30
ENSP00000437409,7.73447849244014,4.33293641907603,3.13858540684857e-32,1.92748376298088e-30
ENSP00000266735,-2.87719532978181,5.40042679345822,5.24154440366111e-32,3.17922316730704e-30
ENSP00000360720,-2.97569773057537,7.8328728213446,7.74550581526773e-32,4.64069147200126e-30
ENSP00000375093,4.83717987216018,4.3275903028195,1.6153186487853e-31,9.56151870058096e-30
ENSP00000483283,7.28546731456952,3.14373918554342,3.87099345534872e-31,2.26407033882479e-29
ENSP00000466601,-2.65685906537769,9.30574919660289,5.52689142344064e-31,3.19454324274869e-29
ENSP00000419372,6.76738852485129,7.84029172498597,6.99032983431379e-31,3.99342912511438e-29
ENSP00000312767,5.24773899159331,4.43408077929764,8.55166897616811e-31,4.8292355953924e-29
ENSP00000472264,-3.42421706109534,9.69404761141092,1.83758466554627e-30,1.02591516611691e-28
ENSP00000342331,-3.18803662063341,5.53207118320129,1.88861030711763e-30,1.04255533020999e-28
ENSP00000355206,-9.82462456902999,11.2748491529276,2.00797689591605e-30,1.09613227662617e-28
ENSP00000447879,4.29057722418404,4.24451868454643,2.41953282462394e-30,1.30628184256894e-28
ENSP00000247879,6.90499148306324,4.57222445055016,3.03483865764881e-30,1.62066981793789e-28
ENSP00000354728,-10.2792556118101,11.3437925300433,5.12138104768285e-30,2.70552097712536e-28
ENSP00000354141,4.5391055209835,7.11398153335399,5.50838091864296e-30,2.87900802694605e-28
ENSP00000432235,-2.2949674793044,7.82758604280189,6.70163722646507e-30,3.46580459932873e-28
ENSP00000472266,-3.42925302746562,5.61323481156954,7.68343621774765e-30,3.93215855602023e-28
ENSP00000506760,3.67097099125099,5.22063409051613,8.68133395332855e-30,4.39705089821682e-28
ENSP00000354961,-10.2618142249167,14.9766676281423,8.83640231021892e-30,4.42992291327608e-28
ENSP00000435186,-2.23863638869532,6.66663072174179,1.17567437186991e-29,5.83443251413827e-28
ENSP00000351214,-4.01100324390915,8.38143583701754,1.39221476788062e-29,6.83995115459747e-28
ENSP00000362708,-3.05339621940225,6.59171202755148,2.25889146410602e-29,1.09880532308445e-27
