gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSG00000145416.13,779,192,252,447,166,139,28,356,107,276,133,1069,206,865,1276,576,390,982,973,827,298
ENSG00000099785.10,438,353,708,550,180,159,274,657,136,311,204,2257,2749,1309,2809,1478,969,1384,1447,1696,1086
ENSG00000108387.14,1427,944,568,1481,1052,164,63,744,476,2239,731,1374,349,1316,4708,1953,3729,1835,637,2725,1004
ENSG00000138758.11,10386,5016,6568,4858,6770,1461,1525,4970,2507,7043,3496,7904,1129,2604,9121,4860,10318,4477,2633,9991,3298
ENSG00000121410.11,55,100,118,240,47,3,137,119,36,69,21,230,37,391,502,373,278,455,221,294,232
ENSG00000175899.14,46176,31239,35782,34597,30576,3887,4815,31813,12022,42904,19640,30353,12402,150397,144872,50514,144494,45467,17864,89257,12324
ENSG00000184389.9,74,13,25,10,9,0,53,21,0,18,2,0,3,6,1,3,2,0,0,0,2
ENSG00000250420.8,82,40,76,122,36,5,4,25,7,28,14,27,0,0,2,0,0,8,51,5,109
ENSG00000103591.12,1870,1234,1248,1259,809,117,509,659,275,589,390,1470,1659,860,1462,706,834,894,2273,1596,1003
ENSG00000087884.14,466,227,372,305,214,35,58,146,130,315,113,372,438,360,395,365,245,244,256,343,371
ENSG00000127837.9,4276,4321,3466,3554,1676,347,3113,1787,740,1098,755,5946,3525,6042,4897,2872,3888,3938,5608,5558,5180
ENSG00000090861.15,5536,4447,13070,4967,3113,761,1291,2849,1217,2489,1347,4129,4103,2891,5731,4348,4664,6080,3641,7254,4907
ENSG00000154263.17,707,246,557,217,1055,101,389,126,277,426,115,832,886,597,8354,2633,1612,2685,982,5007,1332
ENSG00000064687.12,2005,1255,2183,2296,604,1124,1367,1945,691,1010,567,685,380,727,1622,725,2216,562,3668,3841,2261
ENSG00000085563.14,2647,2175,1612,970,187,621,772,699,920,366,418,90,19,91,929,62,592,556,183,439,97
ENSG00000004846.16,10,4,7,10,40,30,16,26,10,8,186,654,0,23,24,2,81,25,7,448,308
ENSG00000197150.12,805,1074,846,1236,395,428,1157,820,404,819,558,608,180,445,1658,726,726,4914,2073,1476,1102
ENSG00000121270.15,29,4,35,22,15,8,14,12,5,8,1,10,6,2,0,2,4,0,5,57,9
ENSG00000091262.15,3019,1361,2571,3676,68,216,1356,518,1379,174,510,18,16,217,77,46,41,29,33,65,18
ENSG00000256340.8,297,132,174,360,13,11,248,130,279,25,83,1,2,0,13,2,4,3,12,12,0
ENSG00000255277.3,45,26,12,49,0,67,2,13,14,5,10,2,0,0,0,0,0,0,2,1,0
ENSG00000069431.11,5901,3064,9863,2364,5870,280,284,7348,1734,6015,1916,1133,4884,895,5606,2715,5138,3076,460,2827,1263
ENSG00000161204.11,2866,1615,2574,1824,1407,261,2959,1573,776,1905,734,2363,2262,1654,2002,1618,1346,1941,3032,2409,2190
ENSG00000160179.18,2626,1192,3624,3838,1156,871,2106,2285,1177,2876,1274,1875,8452,1130,794,866,1427,824,228,1087,1480
ENSG00000106077.18,1178,778,626,616,144,147,3996,290,192,602,661,742,253,275,415,533,264,386,566,797,642
ENSG00000114779.19,924,618,1001,647,230,62,185,351,235,378,418,2704,528,2178,3079,1598,2363,2027,2825,2922,2327
ENSG00000129968.15,324,223,366,281,143,50,279,283,107,226,73,2326,1787,2225,3884,1732,2544,2242,4084,3538,3747
ENSG00000107362.13,914,416,279,456,231,87,224,345,156,364,192,1046,561,670,967,238,934,501,1667,1181,1084
ENSG00000100439.10,491,445,1320,1013,648,70,155,470,142,351,197,3856,1384,2545,3059,1591,2573,3732,6512,2501,2859
ENSG00000163686.14,755,396,701,627,104,75,68,405,452,327,473,477,153,226,921,314,726,744,722,834,1382
ENSG00000173210.19,7939,3802,11583,4833,1986,1771,7577,8470,2226,5522,1071,5688,4505,2625,8059,7438,11571,1794,1786,25143,1883
ENSG00000076555.15,7479,4714,8026,9650,4744,2236,2632,2468,3430,11953,2944,12616,13096,3050,17387,5122,18554,5274,2408,22865,3574
ENSG00000111271.14,2682,1267,2455,2063,991,713,853,670,948,2080,1008,1709,309,669,1537,1231,768,1404,2686,1440,1367
ENSG00000151498.11,591,417,677,518,213,63,858,238,184,548,206,1750,1548,824,1635,960,996,1830,2065,1704,2113
ENSG00000117054.13,7461,2703,2845,2193,1348,630,674,1371,1382,1852,1918,1338,1414,1183,2514,2985,1205,1271,2251,2142,992
ENSG00000196177.12,1162,443,738,384,190,238,65,183,205,599,325,1722,1232,1746,1658,1260,578,1592,2953,2053,1562
ENSG00000075239.13,5326,2701,1835,1874,612,270,351,1239,1328,1093,1344,2686,18718,2657,2563,2882,1789,1905,1924,2786,2843
ENSG00000120437.8,553,109,470,161,398,70,34,328,120,209,171,582,119,584,425,208,347,405,879,490,1047
ENSG00000181513.14,1801,476,1190,741,266,186,457,283,324,759,288,826,291,819,1509,561,278,1415,796,761,683
ENSG00000110455.13,1290,587,1443,1154,541,337,559,409,267,1390,472,816,159,463,1313,421,531,1253,771,868,740
ENSG00000130234.10,11157,4354,372,8470,114,377,569,13,9828,1306,65,6,8,10,369,947,251,27,157,372,6
ENSG00000100813.14,29370,12473,18201,34243,16272,4343,14415,13372,2912,20170,6690,8615,3893,6638,10285,6151,9225,13020,15215,10835,10866
ENSG00000129048.6,260,62,37,130,427,97,0,350,258,67,128,1192,13,324,198,113,398,232,39,1429,1195
ENSG00000162390.17,1376,1074,808,544,325,317,771,533,148,891,751,36,28,194,291,301,16,264,911,81,85
ENSG00000119673.14,735,349,333,239,169,75,352,284,142,209,213,1327,1433,1217,1351,871,1043,727,784,1734,638
ENSG00000177465.4,211,90,147,78,21,3,319,84,12,12,7,81,19,34,42,34,41,45,43,62,32
ENSG00000097021.19,2559,1356,524,1267,292,229,1474,577,256,477,1002,318,370,479,753,319,288,495,1254,577,1102
ENSG00000153093.18,31,18,22,24,17,12,5,9,5,23,7,28,41,9,18,6,20,11,9,20,8
ENSG00000183760.10,9,11,12,16,10,20,4,22,7,23,5,6,1,0,5,5,5,34,7,5,200
ENSG00000100312.10,242,88,310,147,73,28,84,118,93,468,167,187,86,106,19,17,28,37,16,80,6
ENSG00000167107.12,375,226,505,515,209,82,253,394,125,370,117,1542,267,559,1041,1122,706,843,2310,1226,2120
ENSG00000068366.19,5135,4494,6265,2415,2942,1339,811,6954,733,1820,1312,4395,26401,2098,5325,2018,10329,1470,2759,7124,2254
ENSG00000197142.10,1861,430,4419,768,437,367,561,1058,464,732,695,857,164,557,1499,560,1574,518,907,3445,258
ENSG00000166743.9,49,21,32,91,7,0,0,15,29,18,26,18,2,27,71,39,19,154,172,59,15
ENSG00000066813.14,17579,2404,4563,4308,17,485,2670,331,2098,1523,1343,12,4,5,10,2,17,8,5,7,8
ENSG00000183549.10,1970,768,1926,1043,28,71,734,319,406,508,213,355,540,21,260,357,237,24,67,283,70
ENSG00000143632.14,8,10,3,8,4,0,1,13,7,11,4,893,665422,551,431,65301,286,148,549,1121,1067
ENSG00000107796.13,8780,15659,3050,11299,12695,1333,3487,14875,6757,16974,6543,12528,1854,93994,109757,5679,12117,82815,11728,30376,7533
ENSG00000213763.4,16,3,2,13,5,6,2,25,0,0,3,23,6,34,31,10,65,25,23,23,22
ENSG00000259315.1,66,23,56,64,32,19,7,6,17,71,10,12,5,8,30,11,19,21,25,13,18
ENSG00000163017.13,240,582,648,466,749,166,347,1309,601,521,536,2073,121,16800,16641,254,567,54043,4510,6013,5212
ENSG00000072110.13,10059,13363,24007,6365,14718,2085,8693,20640,3478,9920,7275,15022,2229,69224,30839,11122,11310,30408,6404,18960,7586
ENSG00000115073.7,2346,2548,2981,2181,730,397,2207,1681,728,1433,626,3031,2457,4009,4590,2698,2397,5202,3675,4408,2507
ENSG00000138071.13,8856,6181,7113,7245,5978,1957,1009,7864,2419,4771,3889,7629,3728,8346,9359,3944,6195,3929,7910,7692,4682
ENSG00000115091.11,6893,5484,6563,4883,5411,1884,1914,6742,2085,3789,3107,3889,1305,8583,8133,3931,6707,4331,8495,8187,7374
ENSG00000106526.10,1417,775,1400,964,224,315,872,222,400,691,835,7,7,10,8,26,10,31,159,50,22
ENSG00000075089.9,404,227,344,225,283,69,78,223,119,250,172,686,266,671,985,514,482,634,1164,873,839
ENSG00000115170.13,2318,2438,1780,1232,1191,351,471,1552,691,1699,1015,2894,534,1242,1395,1018,1166,1499,1593,2091,1763
