qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
Tcas000006	BP	0043171	peptide catabolic process	10.8801665631	0.78364361553	1	90
Tcas000006	MF	0070006	metalloaminopeptidase activity	9.39548712477	0.749767894676	1	90
Tcas000006	CC	0098552	side of membrane	7.65904139483	0.706540610303	1	87
Tcas000006	MF	0042277	peptide binding	9.38236171067	0.74945690803	2	90
Tcas000006	CC	0005615	extracellular space	6.84523279457	0.684592506924	2	90
Tcas000006	BP	0006508	proteolysis	4.32384695925	0.606626875908	4	90
Tcas000006	CC	0005886	plasma membrane	2.52242781745	0.535308860568	4	89
Tcas000006	CC	0005737	cytoplasm	1.53840631314	0.484795202146	6	90
Tcas000006	MF	0008270	zinc ion binding	5.07378975702	0.631764079958	7	90
Tcas000008	BP	0070301	cellular response to hydrogen peroxide	12.8506560839	0.825210226839	1	34
Tcas000022	MF	0004842	ubiquitin-protein transferase activity	7.82086102106	0.710763450389	1	87
Tcas000022	BP	0016567	protein ubiquitination	7.38333014005	0.699241562672	1	87
Tcas000022	CC	0000151	ubiquitin ligase complex	0.216842416196	0.372314327878	1	2
Tcas000022	MF	0008270	zinc ion binding	5.073775948	0.631763634883	4	87
Tcas000022	CC	0005634	nucleus	0.0889515166253	0.348005523702	5	2
Tcas000022	BP	0009987	cellular process	0.410474878902	0.397727191137	11	87
Tcas000022	CC	0005737	cytoplasm	0.0393912347176	0.333518170955	11	2
Tcas000022	BP	0006511	ubiquitin-dependent protein catabolic process	0.192538876571	0.368412674063	12	2
Tcas000022	MF	0031624	ubiquitin conjugating enzyme binding	0.30078882633	0.384333804738	15	2
Tcas000022	MF	0016874	ligase activity	0.214506290385	0.371949124161	18	4
Tcas000022	MF	0061659	ubiquitin-like protein ligase activity	0.213823850016	0.371842064184	19	2
Tcas000022	BP	0060255	regulation of macromolecule metabolic process	0.104546016097	0.351648352891	19	3
Tcas000022	BP	0050794	regulation of cellular process	0.0825744784641	0.3464243458	22	3
Tcas000034	CC	0071986	Ragulator complex	13.7943742579	0.843533313983	1	44
Tcas000034	BP	0071230	cellular response to amino acid stimulus	12.5065715782	0.8181944487	1	44
Tcas000034	MF	0016301	kinase activity	0.286380235998	0.382403062815	1	3
Tcas000034	BP	0032008	positive regulation of TOR signaling	11.8569997999	0.804681600723	3	44
Tcas000015	BP	0006886	intracellular protein transport	6.8351221185	0.684311845217	1	90
Tcas000015	CC	0005768	endosome	0.205108995069	0.370459570767	1	2
Tcas000015	CC	0016020	membrane	0.0242005068697	0.327288055568	12	2
Tcas000015	BP	0007399	nervous system development	1.15326967484	0.460630852256	14	15
Tcas000014	CC	0035861	site of double-strand break	11.5040854062	0.797184611721	1	93
Tcas000014	CC	0005634	nucleus	3.47394517386	0.575331345299	4	93
Tcas000007	BP	0072002	Malpighian tubule development	14.8180269373	0.849746828077	1	7
Tcas000007	MF	0046982	protein heterodimerization activity	9.27637563356	0.746937717226	1	7
Tcas000007	MF	0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	7.27928463059	0.696451769668	2	7
Tcas000007	BP	0045165	cell fate commitment	10.2816753614	0.770284549691	4	7
Tcas000007	MF	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	6.79526847984	0.683203523327	4	7
Tcas000007	BP	0010557	positive regulation of macromolecule biosynthetic process	6.57359222411	0.676978535245	12	7
Tcas000007	BP	0006357	regulation of transcription by RNA polymerase II	5.74798706491	0.652816419045	20	7
Tcas000012	CC	0016020	membrane	0.920374656863	0.443999302603	1	2
Tcas000009	MF	0051378	serotonin binding	15.4541915235	0.853500563322	1	87
Tcas000009	BP	0051610	serotonin uptake	14.7025815118	0.849057053472	1	87
Tcas000009	CC	0098793	presynapse	8.68498831259	0.732608817383	1	87
Tcas000009	MF	0005335	serotonin:sodium:chloride symporter activity	15.1806062769	0.851895907894	2	87
Tcas000009	CC	0043005	neuron projection	7.47095918757	0.701575964742	2	87
Tcas000009	CC	0005886	plasma membrane	2.49459452913	0.534033024751	7	87
Tcas000009	BP	0035725	sodium ion transmembrane transport	8.21499572501	0.720869536932	8	87
Tcas000009	BP	0006865	amino acid transport	6.68476235685	0.680113255173	10	87
Tcas000009	MF	0046872	metal ion binding	2.39011144463	0.52917898608	28	86
Tcas000003	MF	0016409	palmitoyltransferase activity	10.7505277861	0.780781723379	1	67
Tcas000003	CC	0016020	membrane	0.921535054596	0.444087088417	1	68
Tcas000003	MF	0019707	protein-cysteine S-acyltransferase activity	5.19476865563	0.63564035015	4	30
Tcas000003	MF	0016491	oxidoreductase activity	0.0421912977907	0.334524835607	10	1
Tcas000011	MF	0016018	cyclosporin A binding	15.7358705761	0.855137919467	1	89
Tcas000011	BP	0006457	protein folding	6.54914398354	0.67628560867	1	89
Tcas000011	CC	0005739	mitochondrion	4.44008772764	0.610658407574	1	88
Tcas000011	MF	0140840	RNA polymerase II CTD heptapeptide repeat P6 isomerase activity	13.477583013	0.837755739831	2	44
Tcas000011	BP	0006357	regulation of transcription by RNA polymerase II	2.85158312084	0.549893884508	3	44
Tcas000011	MF	0140839	RNA polymerase II CTD heptapeptide repeat P3 isomerase activity	13.477583013	0.837755739831	4	44
Tcas000011	CC	0005576	extracellular region	0.999263572863	0.449846525543	7	17
Tcas000011	CC	0071013	catalytic step 2 spliceosome	0.133720644042	0.357796494114	9	1
