qpid	goid	ontology	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
gene-OO714_RS16280	0002143	BP	tRNA_wobble_position_uridine_thiolation	13.0769690286	0.829773576852	1	100
gene-OO714_RS16280	0097163	MF	sulfur_carrier_activity	12.3776627383	0.815541226429	1	100
gene-OO714_RS16280	0005737	CC	cytoplasm	2.01966868902	0.511051049809	1	100
gene-OO714_RS16280	0005515	MF	protein_binding	0.103480388537	0.351408470011	3	2
gene-OO714_RS16280	1990234	CC	transferase_complex	0.0620516850226	0.340869575024	7	1
gene-OO714_RS16280	0046439	BP	L-cysteine_metabolic_process	0.14096721085	0.359216211763	32	1
gene-OO714_RS16280	0009093	BP	cysteine_catabolic_process	0.140837761058	0.359191174973	34	1
gene-OO714_RS16280	0042219	BP	cellular_modified_amino_acid_catabolic_process	0.110143877609	0.352888876075	37	1
gene-OO714_RS16280	0006777	BP	Mo-molybdopterin_cofactor_biosynthetic_process	0.0860853862355	0.347302131888	39	1
gene-OO714_RS02435	0045732	BP	positive_regulation_of_protein_catabolic_process	11.5788635446	0.798782627973	1	2
gene-OO714_RS02435	0051117	MF	ATPase_binding	7.55641053247	0.703839205682	1	1
gene-OO714_RS02435	0005829	CC	cytosol	6.7216160688	0.681146676759	1	2
gene-OO714_RS02435	0042803	MF	protein_homodimerization_activity	4.97195001704	0.628465070827	2	1
gene-OO714_RS02435	0032781	BP	positive_regulation_of_ATP-dependent_activity	9.71670804422	0.757312134575	3	1
gene-OO714_RS02435	0000502	CC	proteasome_complex	4.37883619606	0.608540712669	4	1
gene-OO714_RS02435	0005840	CC	ribosome	3.18060241419	0.563653215702	7	2
gene-OO714_RS02435	0060090	MF	molecular_adaptor_activity	2.5330967328	0.535796040082	7	1
gene-OO714_RS02435	0003723	MF	RNA_binding	1.83153429973	0.501205243957	8	1
gene-OO714_RS02435	1903052	BP	positive_regulation_of_proteolysis_involved_in_protein_catabolic_process	6.0248748882	0.661102410574	15	1
gene-OO714_RS06260	0043531	MF	ADP_binding	9.89566537679	0.761461107107	1	100
gene-OO714_RS06260	0016310	BP	phosphorylation	4.14071083156	0.600163656124	1	100
gene-OO714_RS06260	0016776	MF	phosphotransferase_activity,_phosphate_group_as_acceptor	8.1429469736	0.719040532367	2	100
gene-OO714_RS06260	0004674	MF	protein_serine/threonine_kinase_activity	7.09541979531	0.691472568005	3	100
gene-OO714_RS06260	0006355	BP	regulation_of_DNA-templated_transcription	0.349049911029	0.390484807724	7	11
gene-OO714_RS06260	0005524	MF	ATP_binding	2.97801866487	0.555270721817	9	100
gene-OO714_RS06260	0003677	MF	DNA_binding	0.324419522778	0.387402779733	27	11
gene-OO714_RS00640	0005631	CC	chitosan_layer_of_spore_wall	25.44591008	0.90460812514	1	1
gene-OO714_RS00640	0034232	BP	ascospore_wall_chitin_catabolic_process	23.837566438	0.897169745967	1	1
gene-OO714_RS00640	0008061	MF	chitin_binding	10.4225473229	0.773463247397	1	1
gene-OO714_RS00640	0042802	MF	identical_protein_binding	9.01598965581	0.740686777957	2	1
gene-OO714_RS00640	0042764	CC	ascospore-type_prospore	17.0373678585	0.862519707085	3	1
gene-OO714_RS00640	0016810	MF	hydrolase_activity,_acting_on_carbon-nitrogen_(but_not_peptide)_bonds	5.85804911142	0.65613346986	3	1
gene-OO714_RS00640	0046872	MF	metal_ion_binding	2.48438547954	0.533563274556	6	1
gene-OO714_RS00640	0030476	BP	ascospore_wall_assembly	18.3191127342	0.869518622583	8	1
gene-OO714_RS00640	0005829	CC	cytosol	6.72258059129	0.681173685016	8	1
gene-OO714_RS00640	0005634	CC	nucleus	3.95894194075	0.593605748116	10	1
gene-OO714_RS03020	0006865	BP	amino_acid_transport	7.13242759203	0.692479906932	1	5
gene-OO714_RS03020	0015171	MF	amino_acid_transmembrane_transporter_activity	4.78752056332	0.622403458491	1	3
gene-OO714_RS03020	0005886	CC	plasma_membrane	2.6828060023	0.54252705115	1	5
gene-OO714_RS03020	0000100	MF	S-methylmethionine_transmembrane_transporter_activity	4.48631429145	0.612246977971	4	1
gene-OO714_RS03020	1905039	BP	carboxylic_acid_transmembrane_transport	4.68320564455	0.618923188088	6	3
gene-OO714_RS03020	0015806	BP	S-methylmethionine_transport	4.41762516525	0.609883499003	9	1
gene-OO714_RS03020	1901605	BP	alpha-amino_acid_metabolic_process	1.71290228141	0.494734700292	16	2
gene-OO714_RS03020	0000097	BP	sulfur_amino_acid_biosynthetic_process	1.33614212787	0.472539023852	22	1
